"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Prisma", "Markdown", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\README.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 18, 51
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 1, 2, 36
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\package-lock.json", "JSON", 0, 12172, 0, 0, 0, 0, 0, 0, 1, 12173
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\package.json", "JSON", 0, 89, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma\migrations\20260803144357_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 154, 49, 59, 262
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma\schema.prisma", "Prisma", 0, 0, 0, 205, 0, 0, 0, 15, 58, 278
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.controller.spec.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.controller.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 7, 143
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.module.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.repository.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.service.spec.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 11, 70
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.service.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
