"filename", "language", "JSON with Comments", "JSON", "TypeScript", "MS SQL", "Markdown", "Prisma", "JavaScript", "comment", "blank", "total"
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 21, 59
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 1, 2, 36
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\package-lock.json", "JSON", 0, 12836, 0, 0, 0, 0, 0, 0, 1, 12837
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\package.json", "JSON", 0, 99, 0, 0, 0, 0, 0, 0, 1, 100
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 2, 17
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma\migrations\20260803144357_init\migration.sql", "MS SQL", 0, 0, 0, 208, 0, 0, 0, 66, 80, 354
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma\migrations\20260818000000_align_billing_schema\migration.sql", "MS SQL", 0, 0, 0, 24, 0, 0, 0, 10, 10, 44
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 310, 0, 23, 87, 420
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\prisma\seed.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 14, 15, 127
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.controller.spec.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 9, 55
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.controller.ts", "TypeScript", 0, 0, 136, 0, 0, 0, 0, 0, 7, 143
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.repository.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.service.spec.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 11, 79
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\admin.service.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 2, 13, 86
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\admin\dto\get-companies-filter.dto.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\app.controller.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\app.controller.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\app.module.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 2, 4, 72
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\auth.controller.spec.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\auth.controller.ts", "TypeScript", 0, 0, 188, 0, 0, 0, 0, 1, 14, 203
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\auth.module.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\auth.repository.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\auth.service.spec.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\auth.service.ts", "TypeScript", 0, 0, 182, 0, 0, 0, 0, 2, 35, 219
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\decorators\current-user.decorator.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 7, 2, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\decorators\public.decorator.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 4, 2, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\decorators\roles.decorator.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\dto\auth-response.dto.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\dto\login.dto.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\dto\register.dto.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\access-token.guard.spec.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\access-token.guard.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 11, 74
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\refresh-jwt.guard.spec.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 16, 81
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\refresh-jwt.guard.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\guard\roles.guard.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\interfaces\auth-request.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\interfaces\jwt-payload.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\interfaces\tokens.interface.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\refresh-tokens.repository.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\refresh-tokens.service.spec.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 13, 49
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\auth\refresh-tokens.service.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 7, 11, 64
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.controller.spec.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 13, 84
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.controller.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 8, 93
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.repo.ts", "TypeScript", 0, 0, 361, 0, 0, 0, 0, 0, 30, 391
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.service.spec.ts", "TypeScript", 0, 0, 214, 0, 0, 0, 0, 0, 30, 244
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\billing.service.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 21, 21, 154
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\dto\cancel-subscription.dto.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\dto\create-checkout-session.dto.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\interfaces\stripe-webhook-event.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe-webhook.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe-webhook.service.spec.ts", "TypeScript", 0, 0, 415, 0, 0, 0, 0, 3, 38, 456
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe-webhook.service.ts", "TypeScript", 0, 0, 641, 0, 0, 0, 0, 51, 70, 762
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe.service.spec.ts", "TypeScript", 0, 0, 197, 0, 0, 0, 0, 0, 32, 229
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\billing\stripe\stripe.service.ts", "TypeScript", 0, 0, 214, 0, 0, 0, 0, 27, 24, 265
